indice_tiempo,valor
2011-10-01,505900
2011-11-01,483700
2011-12-01,455500
2012-01-01,395900
2012-02-01,450000
2012-03-01,496700
2012-04-01,480000
2012-05-01,458400
2012-06-01,451100
2012-07-01,344000
2012-08-01,379900
2012-09-01,396100
2012-10-01,413700
2012-11-01,395400
2012-12-01,333900
2013-01-01,320000
2013-02-01,320800
2013-03-01,467600
2013-04-01,428900
2013-05-01,448700
2013-06-01,416500
2013-07-01,461500
2013-08-01,478900
2013-09-01,462600
2013-10-01,477300
2013-11-01,469200
2013-12-01,433600
2014-01-01,397100
2014-02-01,380300
2014-03-01,471800
2014-04-01,485800
2014-05-01,482900
2014-06-01,477400
2014-07-01,476700
2014-08-01,467400
2014-09-01,463800
2014-10-01,477500
2014-11-01,461300
2014-12-01,446200
2015-01-01,385900
2015-02-01,376700
2015-03-01,429800
2015-04-01,383800
2015-05-01,410900
2015-06-01,444600
2015-07-01,431000
2015-08-01,473500
2015-09-01,446400
2015-10-01,468700
2015-11-01,404900
2015-12-01,371600
2016-01-01,329500
2016-02-01,338800
2016-03-01,317700
2016-04-01,319100
2016-05-01,379100
2016-06-01,372400
2016-07-01,356100
2016-08-01,343200
2016-09-01,322100
2016-10-01,376600
2016-11-01,359300
2016-12-01,312600
2017-01-01,291300
2017-02-01,305100
2017-03-01,392300
2017-04-01,367400
2017-05-01,394100
2017-06-01,372200
2017-07-01,398800
2017-08-01,417400
2017-09-01,422700
2017-10-01,447100
2017-11-01,435000
2017-12-01,380800
2018-01-01,343800
2018-02-01,417300
2018-03-01,473900
2018-04-01,463000
2018-05-01,438100
2018-06-01,413500
2018-07-01,463800
2018-08-01,455300
2018-09-01,434700
2018-10-01,446200
2018-11-01,456000
2018-12-01,356100
